strategy,window,pickedParams,isSharpe,isTrades,isPnl,oosSharpe,oosPnl,oosTrades
macd_bollinger,0,"bbPeriod=15,volumeMultiplier=2",-4.6124,10,-782.48,0.0000,0.00,0
macd_bollinger,1,"bbPeriod=15,volumeMultiplier=2",-4.0168,8,-571.06,4.3773,246.50,1
macd_bollinger,2,"bbPeriod=15,volumeMultiplier=2",1.1754,4,139.79,-0.6440,-18.65,1
macd_bollinger,3,"bbPeriod=15,volumeMultiplier=2",1.1052,4,155.19,0.6449,-50.16,1
macd_bollinger,4,"bbPeriod=15,volumeMultiplier=2",2.7081,4,425.41,-2.3004,-227.32,2
macd_bollinger,5,"bbPeriod=15,volumeMultiplier=2",2.4053,8,702.25,2.0455,0.00,0
macd_bollinger,6,"bbPeriod=15,volumeMultiplier=2",1.9248,7,455.75,-0.3831,-126.88,1
macd_bollinger,7,"bbPeriod=15,volumeMultiplier=2",1.4664,7,346.76,-4.2305,-257.11,2
macd_bollinger,8,"bbPeriod=15,volumeMultiplier=2",-1.5881,7,-492.28,3.1209,240.42,1
macd_bollinger,9,"bbPeriod=15,volumeMultiplier=2",-0.6590,4,-137.73,-4.6460,-127.63,1
macd_bollinger,10,"bbPeriod=15,volumeMultiplier=2",-1.9515,4,-511.87,0.0000,0.00,0
macd_bollinger,11,"bbPeriod=15,volumeMultiplier=2",-0.6967,4,-143.86,-3.4893,-60.15,1
macd_bollinger,12,"bbPeriod=15,volumeMultiplier=2",0.3319,3,53.10,4.2210,246.60,1
macd_bollinger,13,"bbPeriod=15,volumeMultiplier=2",0.4446,3,58.81,2.5631,165.17,2
macd_bollinger,14,"bbPeriod=15,volumeMultiplier=2",0.6851,3,104.78,-3.7462,-242.28,2
macd_bollinger,15,"bbPeriod=15,volumeMultiplier=2",0.6104,6,109.34,0.0000,0.00,0
macd_bollinger,16,"bbPeriod=15,volumeMultiplier=2",0.9881,5,169.49,-4.7488,-127.38,1
macd_bollinger,17,"bbPeriod=15,volumeMultiplier=2",0.0925,4,-77.11,3.0752,233.55,4
macd_bollinger,18,"bbPeriod=15,volumeMultiplier=2",0.9700,5,118.11,0.0000,0.00,0
macd_bollinger,19,"bbPeriod=15,volumeMultiplier=2",1.6578,5,475.16,-3.4893,-136.39,1
macd_bollinger,20,"bbPeriod=15,volumeMultiplier=2",0.7120,7,211.40,0.0000,0.00,0
macd_bollinger,21,"bbPeriod=15,volumeMultiplier=2",1.1505,6,338.77,5.4625,264.95,2
