strategy,window,pickedParams,isSharpe,isTrades,isPnl,oosSharpe,oosPnl,oosTrades
reversal,0,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,1,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,2,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,3,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,4,"rsiOverbought=75,lookback=7",0.0000,0,0.00,5.1678,216.27,1
reversal,5,"rsiOverbought=75,lookback=7",2.5775,1,216.27,0.0000,0.00,0
reversal,6,"rsiOverbought=75,lookback=7",2.5775,1,216.27,0.0000,0.00,0
reversal,7,"rsiOverbought=75,lookback=7",2.5775,1,216.27,0.0000,0.00,0
reversal,8,"rsiOverbought=75,lookback=7",2.5775,1,216.27,0.0000,0.00,0
reversal,9,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,10,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,11,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,12,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,13,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,14,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,15,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,16,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,17,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,18,"rsiOverbought=75,lookback=7",0.0000,0,0.00,0.0000,0.00,0
reversal,19,"rsiOverbought=75,lookback=7",0.0000,0,0.00,4.0473,364.58,1
reversal,20,"rsiOverbought=75,lookback=7",2.0222,1,364.58,0.0000,0.00,0
reversal,21,"rsiOverbought=75,lookback=7",2.0222,1,364.58,0.0000,0.00,0
