strategy,window,trainStart,trainEnd,testStart,testEnd,pickedParams,isSharpe,isTrades,isPnl,oosSharpe,oosPnl,oosWinRate,oosTrades,oosSignalEdgePct
reversal,0,0,720,720,900,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,1,180,900,900,1080,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,2,360,1080,1080,1260,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,3,540,1260,1260,1440,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,4,720,1440,1440,1620,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,5,900,1620,1620,1800,"rsiOB=65,lookback=7",2.5775,1,216.27,0.0000,0.00,0.00,0,0.00
reversal,6,1080,1800,1800,1980,"rsiOB=65,lookback=7",2.5775,1,216.27,0.0000,0.00,0.00,0,0.00
reversal,7,1260,1980,1980,2160,"rsiOB=65,lookback=7",2.5775,1,216.27,0.0000,0.00,0.00,0,0.00
reversal,8,1440,2160,2160,2340,"rsiOB=65,lookback=7",2.5775,1,216.27,0.0000,0.00,0.00,0,0.00
reversal,9,1620,2340,2340,2520,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,10,1800,2520,2520,2700,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,11,1980,2700,2700,2880,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,12,2160,2880,2880,3060,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,13,2340,3060,3060,3240,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,14,2520,3240,3240,3420,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,15,2700,3420,3420,3600,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,16,2880,3600,3600,3780,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,17,3060,3780,3780,3960,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,18,3240,3960,3960,4140,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,19,3420,4140,4140,4320,"rsiOB=65,lookback=4",0.0000,0,0.00,4.0473,364.58,100.00,1,100.00
reversal,20,3600,4320,4320,4500,"rsiOB=65,lookback=4",2.0222,1,364.58,0.0000,0.00,0.00,0,0.00
reversal,21,3780,4500,4500,4680,"rsiOB=65,lookback=4",2.0222,1,364.58,0.0000,0.00,0.00,0,0.00
reversal,22,3960,4680,4680,4860,"rsiOB=65,lookback=4",2.0222,1,364.58,0.0000,0.00,0.00,0,0.00
reversal,23,4140,4860,4860,5040,"rsiOB=65,lookback=4",2.0222,1,364.58,0.0000,0.00,0.00,0,0.00
reversal,24,4320,5040,5040,5220,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,25,4500,5220,5220,5400,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,26,4680,5400,5400,5580,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,27,4860,5580,5580,5760,"rsiOB=65,lookback=4",0.0000,0,0.00,3.4893,0.00,0.00,0,100.00
reversal,28,5040,5760,5760,5940,"rsiOB=65,lookback=4",1.7446,0,0.00,0.0000,0.00,0.00,0,0.00
reversal,29,5220,5940,5940,6120,"rsiOB=65,lookback=4",2.3606,1,258.62,0.0000,0.00,0.00,0,0.00
reversal,30,5400,6120,6120,6300,"rsiOB=65,lookback=4",2.3606,1,258.62,0.0000,0.00,0.00,0,0.00
reversal,31,5580,6300,6300,6480,"rsiOB=65,lookback=4",2.3606,1,258.62,0.0000,0.00,0.00,0,0.00
reversal,32,5760,6480,6480,6660,"rsiOB=65,lookback=4",0.0000,0,0.00,0.0000,0.00,0.00,0,0.00
macd_bollinger,0,0,720,720,900,"bb=20,vol×=2",-2.1290,12,-544.52,0.0000,0.00,0.00,0,0.00
macd_bollinger,1,180,900,900,1080,"bb=20,vol×=2",-0.8586,9,-196.52,4.1778,247.23,100.00,1,100.00
macd_bollinger,2,360,1080,1080,1260,"bb=15,vol×=2",1.1754,4,139.79,-0.6440,-18.65,0.00,1,50.00
macd_bollinger,3,540,1260,1260,1440,"bb=15,vol×=2",1.1052,4,155.19,0.6449,-50.16,0.00,1,50.00
macd_bollinger,4,720,1440,1440,1620,"bb=25,vol×=2",3.0250,4,426.58,-2.2435,-227.32,0.00,2,50.00
macd_bollinger,5,900,1620,1620,1800,"bb=25,vol×=1.2",2.7847,8,756.95,2.0414,0.00,0.00,0,0.00
macd_bollinger,6,1080,1800,1800,1980,"bb=25,vol×=1.2",2.9149,8,757.27,-0.0652,-126.81,0.00,1,0.00
macd_bollinger,7,1260,1980,1980,2160,"bb=25,vol×=1.2",2.5671,8,649.65,-4.2989,-256.97,0.00,2,50.00
macd_bollinger,8,1440,2160,2160,2340,"bb=25,vol×=1.2",-1.5560,7,-491.80,-1.4052,0.00,0.00,0,0.00
macd_bollinger,9,1620,2340,2340,2520,"bb=15,vol×=1.2",0.2560,5,109.73,-4.6460,-127.63,0.00,1,0.00
